id,timestamp,src_ip,dst_ip,src_port,dst_port,proto,service,state,dur,spkts,sbytes,rate,sttl,sload,sloss,sinpkt,sjit,swin,smean,ct_dst_ltm,ct_src_dport_ltm,dpkts,dbytes,dttl,dload,dloss,dinpkt,djit,dwin,dmean,attack_cat,label
1,2026-01-01 00:00:00,10.10.19.174,172.16.1.205,8635,7838,tcp,-,CON,1.879852,1,107,0.531957,64,455.355,0,1879.851557,4.505236,1024,96.065,3,39,0,0,64,0.0,0,1879.851557,13.588547,8192,0.0,Reconnaissance,1
2,2026-01-01 00:00:01,10.10.2.174,172.16.4.210,2063,8080,tcp,dns,RST,2.117758,16,6141,7.555158,64,23198.114,0,132.3599,0.654139,1024,372.407,4,2,15,4734,255,17883.06,2,141.183893,10.870214,1024,315.6,Normal,0
3,2026-01-01 00:00:02,10.10.2.94,172.16.8.244,27948,445,udp,-,FIN,0.506328,19,9856,37.525053,128,155725.019,1,26.648863,21.082312,8192,497.016,3,7,11,4442,128,70183.699,0,46.029855,16.33301,1024,403.818,Exploits,1
4,2026-01-01 00:00:03,10.10.3.241,172.16.3.172,32075,443,udp,http,REQ,0.173516,189,137897,1089.239622,64,6357793.699,3,0.918072,2.897422,8192,630.592,40,1,3,2071,64,95484.244,0,57.838513,20.258816,255,690.333,DoS,1
5,2026-01-01 00:00:04,10.10.9.48,172.16.5.186,37880,53,tcp,http,FIN,0.923868,17,4174,18.400889,64,36143.675,1,54.345202,16.653884,8192,267.718,2,1,14,9915,128,85856.381,2,65.990602,7.136947,0,708.214,Normal,0
6,2026-01-01 00:00:05,10.10.3.170,172.16.8.121,52037,53,tcp,https,CON,2.934693,14,9308,4.770517,255,25373.696,0,209.620902,0.0,255,601.882,3,2,8,5127,32,13976.251,0,366.836579,8.326252,0,640.875,Backdoor,1
7,2026-01-01 00:00:06,10.10.11.49,172.16.1.62,50544,13333,udp,-,CON,2.551562,6,495,2.351501,128,1551.991,1,425.260329,26.04026,255,74.297,6,40,3,1711,32,5364.557,2,850.520657,16.560783,255,570.333,Reconnaissance,1
8,2026-01-01 00:00:07,10.10.10.166,172.16.8.79,60445,19309,tcp,-,FIN,2.548441,5,465,1.961983,64,1459.716,1,509.688297,14.485675,1024,110.569,5,43,3,1521,255,4774.683,1,849.480495,13.418442,0,507.0,Reconnaissance,1
9,2026-01-01 00:00:08,10.10.12.88,172.16.7.177,20233,22,udp,ssh,INT,3.684841,18,6293,4.884879,64,13662.463,0,204.713373,0.474399,0,323.739,2,3,12,4548,32,9873.968,0,307.070059,13.930673,0,379.0,Normal,0
10,2026-01-01 00:00:09,10.10.4.200,172.16.7.116,34261,443,tcp,dns,FIN,1.437025,19,12756,13.221762,128,71013.389,0,75.632884,9.147367,8192,600.01,4,2,12,5283,64,29410.766,0,119.752066,8.067554,255,440.25,Normal,0
11,2026-01-01 00:00:10,10.10.12.220,172.16.8.198,41376,22,tcp,-,REQ,1.196092,18,16287,15.049011,64,108934.772,0,66.449551,16.23119,8192,893.142,4,1,9,3311,32,22145.455,1,132.899101,19.055179,8192,367.889,Normal,0
12,2026-01-01 00:00:11,10.10.7.74,172.16.1.179,16573,3389,tcp,https,FIN,1.411037,16,22506,11.339178,64,127599.771,0,88.189813,6.617775,8192,1635.632,4,1,7,4542,32,25751.273,1,201.576716,7.113511,255,648.857,Fuzzers,1
13,2026-01-01 00:00:12,10.10.16.178,172.16.6.247,36502,21,udp,-,REQ,0.019421,178,87492,9165.546186,64,36040987.278,4,0.109104,4.111374,255,579.355,25,2,1,410,64,168893.211,0,19.420556,22.939468,255,410.0,DoS,1
14,2026-01-01 00:00:13,10.10.9.171,172.16.2.242,23506,8080,udp,https,FIN,0.124059,16,5449,128.971343,64,351382.424,0,7.75366,26.086904,8192,411.099,4,4,9,5908,32,380981.347,0,13.784285,23.977745,8192,656.444,Exploits,1
15,2026-01-01 00:00:14,10.10.4.151,172.16.7.114,24900,8080,tcp,https,CON,2.483213,26,13921,10.470305,64,44848.342,0,95.508204,22.807343,255,562.568,3,3,13,3311,64,10666.824,2,191.016408,25.353298,1024,254.692,Normal,0
16,2026-01-01 00:00:15,10.10.2.238,172.16.8.224,27110,25,tcp,-,FIN,0.265346,13,5527,48.992663,128,166635.352,1,20.41122,14.353623,1024,407.431,5,3,8,5781,255,174293.282,1,33.168232,30.569026,8192,722.625,Normal,0
17,2026-01-01 00:00:16,10.10.10.51,172.16.4.40,33105,3389,tcp,ssh,CON,0.617596,22,10677,35.621982,64,138303.965,1,28.072554,27.429554,8192,473.391,4,3,17,6115,128,79210.335,0,36.329187,10.671547,255,359.706,Normal,0
18,2026-01-01 00:00:17,10.10.8.148,172.16.9.92,52165,25,tcp,dns,FIN,1.688108,14,13499,8.293308,64,63972.205,0,120.579153,16.325815,255,960.84,2,2,12,4899,64,23216.522,2,140.675678,24.11397,1024,408.25,Normal,0
19,2026-01-01 00:00:18,10.10.3.83,172.16.4.239,5649,80,tcp,https,FIN,1.34655,19,9940,14.110137,64,59054.637,0,70.871034,13.426615,8192,539.273,5,3,13,6764,64,40185.67,0,103.580741,9.073876,8192,520.308,Exploits,1
20,2026-01-01 00:00:19,10.10.3.69,172.16.1.201,61281,3389,tcp,dns,REQ,0.287666,199,50541,691.773387,128,1405544.473,7,1.44556,3.005351,255,238.449,32,5,0,0,255,0.0,0,287.666458,2.721404,1024,0.0,DoS,1
21,2026-01-01 00:00:20,10.10.9.25,172.16.5.64,14629,45518,udp,-,CON,1.866507,4,471,2.14304,64,2018.744,0,466.626859,15.351381,8192,103.602,3,47,1,475,64,2035.888,0,1866.507436,4.59075,255,475.0,Reconnaissance,1
22,2026-01-01 00:00:21,10.10.13.166,172.16.1.83,30646,80,udp,http,CON,0.921684,14,11316,15.18958,64,98220.166,1,65.834604,18.472245,8192,723.279,4,7,9,3644,64,31629.046,0,102.409384,7.469414,8192,404.889,Normal,0
23,2026-01-01 00:00:22,10.10.8.48,172.16.3.75,48771,53,udp,https,CON,2.868796,23,15898,8.0173,255,44333.576,0,124.730274,6.504935,1024,641.59,6,1,22,14713,128,41029.054,0,130.399832,1.033263,255,668.773,Backdoor,1
24,2026-01-01 00:00:23,10.10.8.251,172.16.7.24,62851,25,tcp,https,CON,2.601671,25,11292,9.609211,128,34722.306,0,104.066821,24.752736,0,488.181,6,3,22,8253,32,25377.541,0,118.257751,30.127183,0,375.136,Exploits,1
25,2026-01-01 00:00:24,10.10.11.169,172.16.5.231,3222,39183,tcp,-,REQ,0.247918,2,123,8.067176,64,3969.051,0,123.959109,26.229233,255,53.403,3,49,1,703,64,22684.9,1,247.918219,12.305637,0,703.0,Reconnaissance,1
26,2026-01-01 00:00:25,10.10.6.2,172.16.3.51,45690,22,tcp,ftp,CON,2.077493,20,8120,9.626986,64,31268.452,0,103.874665,36.794271,8192,359.3,6,4,10,4981,64,19180.808,0,207.749331,23.827577,8192,498.1,Normal,0
